"type_name","team_name","selected_by","total_points","team_code","team_id","status","first_name","second_name","now_cost","value_form","value_season","points_per_game","ep_next","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","ea_index","bps","team"
"Goalkeeper","Arsenal",5,47,3,1,"a","Wojciech","Szczesny",52,0,9,2.8,0,1498,0,0,3,21,0,0,0,1,0,44,0,172,215,1
"Defender","Arsenal",8.5,73,3,1,"a","Laurent","Koscielny",60,0.8,12.2,4.6,4.5,1375,3,0,6,14,0,0,0,3,0,0,7,240,331,1
"Defender","Arsenal",0.1,0,3,1,"u","Thomas","Vermaelen",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Defender","Arsenal",1.7,48,3,1,"a","Kieran","Gibbs",52,0,9.2,2.7,0.3,1300,0,3,4,20,1,0,0,3,0,0,3,192,284,1
"Defender","West Ham",0.7,64,21,20,"a","Carl","Jenkinson",50,0.5,12.8,3,2.3,1679,0,2,6,16,0,0,0,1,0,0,0,262,294,20
"Defender","Arsenal",4.5,79,3,1,"a","Per","Mertesacker",60,0.5,13.2,3.2,2.8,2250,0,1,8,28,0,0,0,2,0,0,6,282,503,1
"Defender","Arsenal",2.5,64,3,1,"a","Nacho","Monreal",49,0.5,13.1,3.2,2.5,1591,0,2,6,18,0,0,0,2,0,0,5,247,381,1
"Defender","Arsenal",0.1,0,3,1,"a","Isaac","Hayden",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Defender","Arsenal",4.1,32,3,1,"a","Hector","Bellerin",46,0.8,7,3.6,3.8,680,1,1,3,9,0,0,0,2,0,0,0,126,163,1
"Midfielder","Arsenal",2.2,22,3,1,"a","Jack","Wilshere",63,0,3.5,2.4,0,522,1,1,0,10,0,0,0,4,0,0,3,102,96,1
"Midfielder","Arsenal",1,20,3,1,"a","Theo","Walcott",89,0.4,2.2,2.9,4,231,2,0,1,2,0,0,0,0,0,0,0,77,57,1
"Midfielder","Arsenal",10.5,58,3,1,"i","Aaron","Ramsey",86,0.1,6.7,3.2,0,1223,3,2,5,14,0,0,0,4,0,0,5,207,253,1
"Midfielder","Arsenal",0.6,26,3,1,"a","Tomas","Rosicky",47,0.2,5.5,2.4,1,458,1,1,1,6,0,0,0,1,0,0,3,105,115,1
"Midfielder","Arsenal",0.7,19,3,1,"i","Mikel","Arteta",53,0,3.6,2.7,0,447,0,1,3,3,0,0,0,1,0,0,2,75,92,1
"Midfielder","Arsenal",1.1,53,3,1,"a","Alex","Oxlade-Chamberlain",62,0,8.5,2.5,0,1396,1,2,6,18,0,0,0,4,0,0,3,245,255,1
"Midfielder","Arsenal",17.1,123,3,1,"a","Santiago","Cazorla",86,0.9,14.3,4.9,7.8,2019,7,6,8,23,0,0,0,4,0,0,19,561,608,1
"Midfielder","Arsenal",0,0,3,1,"i","Vassiriki","Diaby",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Midfielder","Arsenal",0,0,3,1,"a","Serge","Gnabry",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Midfielder","Arsenal",0,0,3,1,"a","Gedion","Zelalem",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Midfielder","Arsenal",0.3,42,3,1,"d","Mathieu","Flamini",48,0.1,8.8,2.2,0.4,1403,0,2,4,20,0,0,0,3,0,0,0,194,261,1
"Midfielder","Arsenal",5.4,61,3,1,"a","Mesut","Özil",91,1,6.7,5.5,8.8,903,3,4,3,11,0,0,0,0,0,0,10,232,249,1
"Midfielder","Arsenal",0,0,3,1,"n","Ryo","Miyaichi",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Midfielder","Arsenal",31.3,149,3,1,"a","Alexis","Sánchez",113,0.1,13.2,6.5,1.3,1915,12,7,7,24,0,0,1,3,0,0,22,602,503,1
"Forward","Arsenal",0.4,7,3,1,"n","Lukas","Podolski",72,0,1,1,0,106,0,0,0,0,0,0,0,0,0,0,0,14,13,1
"Forward","Arsenal",11,63,3,1,"a","Olivier","Giroud",83,0.6,7.6,4.2,5.3,892,8,2,4,10,0,0,0,4,1,0,8,262,227,1
"Forward","Crystal Palace",0.7,13,31,5,"i","Yaya","Sanogo",47,0.2,2.8,1.9,0,356,0,1,0,5,0,0,0,1,0,0,0,36,12,5
"Forward","Arsenal",0,6,3,1,"a","Chuba","Akpom",48,0.3,1.2,2,1.3,30,0,1,0,0,0,0,0,0,0,0,0,23,16,1
"Forward","Arsenal",0.4,4,3,1,"u","Joel","Campbell",50,0,0.8,1,0,41,0,0,0,1,0,0,0,0,0,0,0,5,16,1
"Goalkeeper","Aston Villa",7.4,0,7,2,"a","Shay","Given",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Goalkeeper","Aston Villa",12.9,85,7,2,"a","Bradley","Guzan",47,0.3,18.1,3.3,1.5,2340,0,0,7,36,0,0,0,2,0,81,1,213,391,2
"Defender","Aston Villa",0.1,20,7,2,"d","Nathan","Baker",43,0,4.7,2.5,0,571,0,0,2,10,0,0,0,0,0,0,2,42,96,2
"Defender","Aston Villa",0.7,44,7,2,"a","Ciaran","Clark",43,0.1,10.2,2.4,0.5,1462,1,1,3,25,0,0,0,6,1,0,5,159,277,2
"Defender","Aston Villa",0.1,10,7,2,"a","Matthew","Lowton",42,0,2.4,2,0,361,0,0,1,5,0,0,0,1,0,0,0,31,58,2
"Defender","Aston Villa",9.4,37,7,2,"s","Ron","Vlaar",43,-0.1,8.6,2.8,0,1017,0,0,4,12,0,0,0,1,1,0,5,85,173,2
"Defender","Aston Villa",0,0,7,2,"u","Joe","Bennett",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Defender","Aston Villa",0.2,35,7,2,"a","Jores","Okore",43,0.5,8.1,2.5,2,1200,1,0,2,18,0,0,0,6,0,0,5,126,229,2
"Defender","Aston Villa",0,0,7,2,"u","Antonio","Luna",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Defender","Aston Villa",0.2,0,7,2,"a","Janoi","Donacien",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Defender","Aston Villa",1,22,7,2,"d","Philippe","Senderos",43,0,5.1,2.8,0,633,0,0,3,9,0,0,0,2,0,0,0,74,116,2
"Midfielder","Aston Villa",0.8,36,7,2,"a","Fabian","Delph",48,0.6,7.5,2.2,2.8,1353,0,2,3,25,0,0,0,0,1,0,0,164,241,2
"Midfielder","Aston Villa",0.2,33,7,2,"a","Charles","N'Zogbia",52,0,6.3,2.1,0,796,0,1,7,4,0,0,0,2,0,0,0,76,52,2
"Midfielder","Aston Villa",0.1,0,7,2,"u","Gary","Gardner",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Midfielder","Aston Villa",2,0,7,2,"u","Karim","El Ahmadi",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Midfielder","Aston Villa",0.3,41,7,2,"a","Ashley","Westwood",47,0.2,8.7,2.2,1,1535,0,1,5,23,0,0,0,2,0,0,0,191,264,2
"Midfielder","Aston Villa",0.1,9,7,2,"a","Leandro","Bacuna",50,0,1.8,1.3,0,184,0,0,1,2,0,0,0,0,0,0,0,24,33,2
"Midfielder","Aston Villa",0,0,7,2,"u","Aleksandar","Tonev",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Midfielder","Aston Villa",0,0,7,2,"u","Samir","Carruthers",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Midfielder","Aston Villa",0,0,7,2,"u","Daniel","Johnson",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Midfielder","Aston Villa",0.1,9,7,2,"a","Jack","Grealish",43,0,2.1,1,0,218,0,0,0,3,0,0,0,0,0,0,0,30,26,2
"Midfielder","Aston Villa",0.1,18,7,2,"a","Joe","Cole",53,0.1,3.4,2.2,0.5,227,1,0,1,2,0,0,0,0,0,0,2,33,62,2
"Midfielder","Aston Villa",0.2,29,7,2,"i","Kieran","Richardson",49,0.2,5.9,1.7,0,894,0,1,4,18,0,0,0,1,1,0,0,98,98,2
"Forward","Aston Villa",1.4,57,7,2,"a","Gabriel","Agbonlahor",52,0.3,11,2.4,1.5,1967,3,0,6,31,0,0,0,6,1,0,8,202,146,2
"Forward","Aston Villa",2.3,62,7,2,"a","Andreas","Weimann",52,0.3,11.9,2.5,1.5,1616,3,2,9,20,0,0,0,5,0,0,7,229,246,2
"Forward","Aston Villa",0.6,42,7,2,"a","Christian","Benteke",74,0.2,5.7,2.5,1.5,1322,2,1,3,24,0,0,0,0,1,0,3,128,66,2
"Forward","Aston Villa",0,0,7,2,"i","Libor","Kozák",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Forward","Aston Villa",0.1,0,7,2,"u","Callum","Robinson",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Forward","Aston Villa",0.4,7,7,2,"u","Darren","Bent",46,0,1.5,1,0,83,0,0,0,2,0,0,0,0,0,0,0,-1,19,2
"Goalkeeper","Burnley",5.2,85,90,3,"a","Thomas","Heaton",46,0.4,18.5,3.3,1.8,2340,0,0,5,44,0,1,0,1,0,80,4,223,378,3
"Goalkeeper","Burnley",2.6,0,90,3,"a","Matthew","Gilks",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Defender","Burnley",5.9,35,90,3,"a","Michael","Duff",40,0,8.8,2.9,0,1065,0,0,4,20,0,0,0,2,0,0,4,122,189,3
"Defender","Burnley",0.4,57,90,3,"a","Jason","Shackell",45,0.3,12.7,2.2,1.3,2266,0,0,5,42,0,0,0,2,0,0,2,255,415,3
"Defender","Burnley",0.6,1,90,3,"i","Kevin","Long",39,0,0.3,1,0,20,0,0,0,1,0,0,0,0,0,0,0,1,4,3
"Defender","Burnley",0.5,1,90,3,"a","Daniel","Lafferty",39,0,0.3,1,0,17,0,0,0,0,0,0,0,0,0,0,0,2,3,3
"Defender","Burnley",0.2,57,90,3,"a","Ben","Mee",45,0.6,12.7,2.7,2.8,1808,2,1,4,35,0,0,0,4,0,0,2,229,306,3
"Defender","Burnley",1.9,75,90,3,"a","Kieran","Trippier",48,0.6,15.6,2.9,2.8,2335,0,4,5,44,0,0,0,1,0,0,7,338,464,3
"Midfielder","Burnley",0.4,37,90,3,"i","Dean","Marney",44,0.1,8.4,1.9,0,1685,0,0,5,25,0,0,0,6,0,0,0,162,243,3
"Midfielder","Burnley",0.7,53,90,3,"a","David","Jones",45,0.4,11.8,2.2,2,2134,0,0,5,38,0,0,0,0,0,0,0,226,336,3
"Midfielder","Burnley",0.1,16,90,3,"a","Ross","Wallace",43,0.1,3.7,1.6,0.3,156,1,0,0,2,0,0,0,0,0,0,1,49,63,3
"Midfielder","Burnley",0.4,64,90,3,"a","Scott","Arfield",48,0.4,13.3,2.6,1.8,2122,2,2,4,42,0,0,1,4,0,0,2,202,216,3
"Midfielder","Burnley",0.1,28,90,3,"a","Michael","Kightly",45,0.2,6.2,2.2,0.8,792,1,2,0,19,0,0,0,3,0,0,0,110,85,3
"Midfielder","Burnley",0.1,10,90,3,"i","Matthew","Taylor",48,0,2.1,3.3,0,227,0,1,1,4,0,0,0,0,0,0,0,26,30,3
"Midfielder","Burnley",0.2,4,90,3,"a","Steven","Reid",42,0,1,0.8,0,108,0,0,0,3,0,0,0,1,0,0,0,14,22,3
"Forward","Burnley",7.8,103,90,3,"a","Danny","Ings",59,0.9,17.5,4.5,5.5,1956,9,4,3,38,0,0,0,4,0,0,14,330,343,3
"Forward","Burnley",0,6,90,3,"a","Sam","Vokes",53,0.1,1.1,1,0.8,79,0,0,0,1,0,0,0,0,0,0,0,8,17,3
"Forward","Burnley",1.3,68,90,3,"a","Ashley","Barnes",44,0.7,15.5,2.8,3.3,1584,5,1,2,30,0,0,0,4,0,0,8,195,194,3
"Forward","Burnley",0,11,90,3,"a","Marvin","Sordell",46,0,2.4,1,0,254,0,0,2,2,0,0,0,2,0,0,0,18,16,3
"Goalkeeper","Chelsea",1.7,32,8,4,"a","Petr","Cech",54,0.3,5.9,6.4,0,427,0,0,5,0,0,0,0,0,0,8,0,69,106,4
"Goalkeeper","Chelsea",8.3,76,8,4,"a","Thibaut","Courtois",59,0.3,12.9,3.5,0,1913,0,0,7,22,0,0,0,1,0,46,0,255,308,4
"Defender","Chelsea",12,83,8,4,"a","Gary","Cahill",63,0.2,13.2,3.5,0,1940,1,0,9,20,0,0,0,3,0,0,4,318,428,4
"Defender","Chelsea",19.4,120,8,4,"a","John","Terry",68,0.4,17.6,4.6,0,2340,3,0,12,22,1,0,0,0,0,0,9,423,592,4
"Defender","Chelsea",26.2,135,8,4,"a","Branislav","Ivanovic",74,0.8,18.2,5.2,0,2340,4,4,12,22,0,0,0,5,1,0,12,401,569,4
"Defender","Chelsea",6.9,86,8,4,"a","César","Azpilicueta",60,0.6,14.3,4.3,0,1671,0,3,9,17,0,0,0,1,1,0,11,299,435,4
"Defender","Chelsea",0.1,0,8,4,"a","Nathan","Aké",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Defender","Southampton",18.2,102,20,14,"a","Ryan","Bertrand",57,0,17.9,4.6,-0.3,1978,2,2,10,16,0,0,0,2,1,0,8,334,445,14
"Midfielder","Chelsea",0,0,8,4,"u","Josh","McEachran",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Midfielder","Chelsea",0.4,34,8,4,"a","Ramires","Santos do Nascimento",53,0.3,6.4,2.1,0,660,1,3,2,11,0,0,0,4,0,0,1,122,121,4
"Midfielder","Chelsea",0.5,22,8,4,"i","John Obi","Mikel",43,0.1,5.1,1.7,0,488,0,1,2,6,0,0,0,0,0,0,0,71,95,4
"Midfielder","Chelsea",0,0,8,4,"u","Lucas","Piazon",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Midfielder","Chelsea",38.8,160,8,4,"a","Eden","Hazard",109,0.7,14.7,6.2,0,2296,9,7,14,20,0,0,0,1,0,0,29,670,670,4
"Midfielder","Chelsea",7.3,112,8,4,"a","Oscar","dos Santos Emboaba Junior",83,0.2,13.5,5.3,0,1646,6,7,12,11,0,0,0,4,0,0,12,425,414,4
"Midfielder","Chelsea",2.7,33,8,4,"u","André","Schürrle",71,0,4.6,2.4,0,436,3,0,2,6,0,0,0,2,0,0,1,128,103,4
"Midfielder","Chelsea",0,0,8,4,"u","Marco","van Ginkel",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Midfielder","Chelsea",0,0,8,4,"a","Isaiah","Brown",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Midfielder","Chelsea",0.6,79,8,4,"a","Willian","Borges Da Silva",77,0.6,10.3,3.2,0,1620,2,3,12,11,0,0,0,2,0,0,7,332,347,4
"Midfielder","Chelsea",3.7,66,8,4,"s","Nemanja","Matic",55,0.3,12,2.6,0,2229,1,2,12,20,0,0,0,7,1,0,3,417,446,4
"Midfielder","Chelsea",0.2,3,8,4,"u","Mohamed","Salah",60,0,0.5,1,0,33,0,0,0,3,0,0,0,0,0,0,0,1,5,4
"Midfielder","Chelsea",0,0,8,4,"n","Lewis","Baker",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Midfielder","Chelsea",0,0,8,4,"u","John","Swift",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Midfielder","Stoke",0.5,54,110,16,"a","Victor","Moses",52,0.7,10.4,3.6,3.5,1164,2,4,3,17,0,0,0,2,0,0,3,239,173,16
"Midfielder","Chelsea",32.6,122,8,4,"a","Cesc","Fàbregas",95,0.1,12.8,5.3,0,1958,2,15,10,19,0,0,0,8,0,0,20,522,586,4
"Forward","Chelsea",0.3,0,8,4,"u","Fernando","Torres",73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Forward","Chelsea",0,0,8,4,"u","Demba","Ba",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Forward","Everton",7.4,94,11,6,"a","Romelu","Lukaku",88,0.5,10.7,3.6,4.8,2077,7,4,7,28,1,0,0,1,0,0,8,405,261,6
"Goalkeeper","Crystal Palace",2.6,84,31,5,"a","Julian","Speroni",48,0.7,17.5,3.2,3.5,2304,0,0,6,36,0,1,0,1,0,59,5,213,349,5
"Goalkeeper","Crystal Palace",0.2,1,31,5,"a","Wayne","Hennessey",44,0,0.2,1,0,36,0,0,0,1,0,0,0,0,0,0,0,2,4,5
"Defender","Crystal Palace",2.5,62,31,5,"a","Joel","Ward",47,0.6,13.2,2.4,2.8,2340,0,0,6,37,0,0,0,2,0,0,0,234,358,5
"Defender","Crystal Palace",0.5,43,31,5,"a","Damien","Delaney",49,0.6,8.8,2.3,3,1533,0,0,5,25,0,0,0,3,1,0,2,163,247,5
"Defender","Crystal Palace",0.4,0,31,5,"a","Patrick","McCarthy",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Defender","Crystal Palace",0,0,31,5,"u","Jack","Hunt",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Defender","Crystal Palace",0.1,24,31,5,"a","Adrian","Mariappa",43,0,5.6,2.4,0,750,0,0,3,11,0,0,0,2,0,0,0,68,107,5
"Defender","Crystal Palace",0.2,0,31,5,"n","Ryan","Inniss",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Defender","Crystal Palace",1.1,67,31,5,"a","Scott","Dann",49,0.2,13.7,3,1,1840,1,2,5,26,0,0,0,3,0,0,3,243,283,5
"Midfielder","Crystal Palace",0,7,31,5,"u","Barry","Bannan",47,0,1.5,1,0,138,0,0,0,3,0,0,0,1,0,0,0,21,28,5
"Midfielder","Crystal Palace",0.7,68,31,5,"a","Yannick","Bolasie",53,0.2,12.8,3.1,1.3,1743,1,6,4,28,0,0,0,2,0,0,2,245,186,5
"Midfielder","Crystal Palace",0,0,31,5,"u","Owen","Garvan",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Midfielder","Crystal Palace",2.6,71,31,5,"a","Mile","Jedinak",50,0,14.2,3.9,0,1616,5,2,4,29,0,0,0,3,1,0,6,316,307,5
"Midfielder","Crystal Palace",0,2,31,5,"i","Jonathan","Williams",48,0,0.4,1,0,36,0,0,0,0,0,0,0,0,0,0,0,-3,12,5
"Midfielder","Crystal Palace",0,1,31,5,"i","Jerome","Thomas",44,0,0.2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,2,5
"Midfielder","Crystal Palace",4.8,77,31,5,"a","Jason","Puncheon",56,0.4,13.8,3.1,2.3,1843,3,4,5,30,0,0,0,5,1,0,8,300,271,5
"Midfielder","Crystal Palace",0,0,31,5,"u","José","Campaña",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Midfielder","Crystal Palace",0,3,31,5,"u","Stuart","O'Keefe",45,0,0.7,1.5,0,83,0,0,0,4,0,0,0,0,0,0,0,4,16,5
"Midfielder","Crystal Palace",0,0,31,5,"u","Jimmy","Kebe",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Midfielder","Crystal Palace",0,6,31,5,"a","Adlène","Guédioura",44,0.1,1.4,0.9,0.3,127,0,0,0,2,0,0,0,1,0,0,0,18,18,5
"Midfielder","Crystal Palace",0.3,0,31,5,"a","Hiram","Boateng",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Midfielder","Crystal Palace",0.1,65,31,5,"a","Joe","Ledley",53,0.8,12.3,3,4.3,1911,2,1,5,30,0,0,0,0,0,0,4,250,305,5
"Forward","Crystal Palace",0,10,31,5,"a","Glenn","Murray",51,0.3,2,1.7,1.5,133,1,0,0,2,0,0,0,1,0,0,0,34,20,5
"Forward","Crystal Palace",1.5,61,31,5,"a","Dwight","Gayle",50,0.3,12.2,3.2,1.8,894,5,2,2,14,0,0,0,0,0,0,8,201,206,5
"Forward","Crystal Palace",0,0,31,5,"u","Stephen","Dobbie",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Forward","Crystal Palace",0.4,34,31,5,"i","Marouane","Chamakh",52,0.1,6.5,2.3,0,1003,1,2,1,16,0,0,0,4,0,0,2,118,106,5
"Goalkeeper","Everton",9.1,46,11,6,"a","Tim","Howard",51,0.2,9,2.3,1.3,1755,0,0,3,31,0,0,0,2,0,41,0,160,227,6
"Goalkeeper","Everton",0.1,26,11,6,"a","Joel","Robles",49,0.7,5.3,3.7,3.3,585,0,0,3,6,0,0,0,1,0,15,0,50,105,6
"Defender","Everton",12.4,91,11,6,"a","Phil","Jagielka",56,0.9,16.2,3.6,5,2205,2,0,6,34,0,0,0,0,0,0,17,303,547,6
"Defender","Everton",0.1,7,11,6,"i","Tony","Hibbert",43,0,1.6,1.8,0,329,0,0,0,5,0,0,0,0,0,0,0,37,56,6
"Defender","Everton",16.2,99,11,6,"a","Leighton","Baines",71,0.2,13.9,4.3,1.5,2070,2,8,5,35,0,0,1,4,0,0,15,352,536,6
"Defender","Everton",1.4,19,11,6,"a","Sylvain","Distin",52,0,3.7,1.6,0,1073,0,1,0,26,0,0,0,0,0,0,1,139,229,6
"Defender","Everton",0.1,0,11,6,"u","Shane","Duffy",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Defender","Everton",4.9,86,11,6,"a","Seamus","Coleman",68,0.6,12.6,3.7,4.3,1986,2,3,6,30,1,0,0,2,0,0,9,315,426,6
"Defender","Everton",0.1,9,11,6,"a","Antolin","Alcaraz",42,0.1,2.1,1.3,0.3,436,0,0,1,6,0,0,0,1,1,0,0,53,87,6
"Defender","Everton",1,40,11,6,"a","John","Stones",52,0.8,7.7,3.3,4,1053,0,0,4,12,0,0,0,1,0,0,5,136,253,6
"Defender","Everton",0.3,1,11,6,"a","Luke","Garbutt",39,0,0.3,1,0,90,0,0,0,3,0,0,0,0,0,0,0,5,17,6
